Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, BS1, 1, 1268, 0, 3362.6, 72.9, 0.2, 0.1, 0.1, 0.1, 2.99, 79.8, 0, 0.7, 0.2, 33.7, 7.1, 0.7, 0.2, 0, 0, 0, 0, 71.8, 101.9, 2888.5, 300.5, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.9, 10.2, 48.5, 15.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0.01, 0.01, 0, 0, 0, 0, 79.6, 0, 0, 
0, BS2, 2, 1621, 0, 3420.5, 5.2, 0, 0, 0, 0, 3, 80.5, 0, 0, 0, 2.5, 0.5, 0, 0, 0, 0, 0, 0, 73.2, 100.8, 2946.2, 300.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9, 10.1, 49.4, 15.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.21, 0, 0, 0, 0, 0, 0, 80.5, 0, 0, 
0, BS3, 3, 280318, 0, 2496.6, 1076.7, 0, 0, 0, 0, 2.48, 74.1, 0, 11.3, 3.7, 496.3, 103.4, 10.6, 3.2, 0.6, 0.1, 0.3, 0, 44.4, 152.8, 1987.4, 311.9, 0.2, 0, 1.2, 0.5, 0, 0, 0, 0, 0, 0, 1.5, 14.9, 36.6, 16.8, 0, 0, 0, 0, 0, 0.3, -0.2, 0, 0.03, 0, 0, 0, 0, 0, 0, 72.2, 0, 0, 
0, BS4, 4, 236621, 0, 2124.1, 1274.8, 0, 0, 0, 0, 2.86, 69.2, 0, 11.6, 3.8, 589.7, 122.8, 12.2, 3.4, 0.6, 0.1, 0.3, 0, 39.2, 135, 1636.5, 313.5, 0.2, 0, 1.4, 0.6, 0, 0, 0, 0, 0, 0, 1.2, 13.5, 32, 17.4, 0, 0, 0, 0, 0, 0.3, -0.2, 0, 0.03, 0, 0, 0, 0, 0, 0, 67, 0, 0, 
0, BS5, 5, 44658, 0, 2501.2, 771.7, 0, 0, 0, 0, 2.62, 72.9, 0, 7.4, 2.4, 356.9, 74.3, 7.4, 2.3, 0.4, 0.1, 0.2, 0, 45.8, 137.5, 2008.3, 309.6, 0.2, 0, 0.8, 0.3, 0, 0, 0, 0, 0, 0, 1.6, 13.9, 36.8, 16.6, 0, 0, 0, 0, 0, 0.2, -0.2, 0, 0.12, 0, 0, 0, 0, 0, 0, 71.5, 0, 0, 
0, BS6, 6, 713, 0, 2606.1, 380.4, 0.4, 0.1, 0.2, 0.3, 2.53, 75.3, 0, 2.6, 0.8, 177.5, 36.9, 3.8, 1.2, 0.2, 0, 0.1, 0, 42.9, 144.6, 2111.9, 306.6, 0.1, 0, 0.4, 0.2, 0, 0, 0, 0, 0, 0, 1.6, 15.3, 39.1, 16.1, 0, 0, 0, 0, 0, 0.3, -0.2, 0, 2.26, 0.02, 0.02, 0, 0, 0, 0, 74.6, 0, 0, 
0, BS7, 7, 5845, 0, 3217.2, 85.4, 0.1, 0, 0, 0, 3.12, 79.2, 0, 0.7, 0.2, 39.7, 8.3, 0.8, 0.2, 0, 0, 0, 0, 66.7, 106.7, 2742.4, 301.4, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.6, 11, 47, 15.3, 0, 0, 0, 0, 0, 0.1, -0.1, 0, 0.29, 0, 0, 0, 0, 0, 0, 79, 0, 0, 
0, BS8, 8, 5963, 0, 3185.2, 67.7, 0, 0, 0, 0, 2.94, 77.7, 0, 0.4, 0.1, 31.6, 6.5, 0.6, 0.2, 0, 0, 0, 0, 66.3, 102.4, 2715, 301.5, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.6, 10.5, 46.3, 15.3, 0, 0, 0, 0, 0, 0.1, 0, 0, 0.35, 0.01, 0, 0, 0, 0, 0, 77.6, 0, 0, 
0, BS9, 9, 38501, 0, 2883.6, 298, 0, 0, 0, 0, 2.9, 75.6, 0, 3, 1, 137.7, 28.6, 2.8, 0.8, 0.2, 0, 0.1, 0, 57.4, 112.8, 2408.8, 304.6, 0.1, 0, 0.3, 0.1, 0, 0, 0, 0, 0, 0, 2.2, 11.6, 42.5, 15.8, 0, 0, 0, 0, 0, 0.1, -0.1, 0, 0.12, 0, 0, 0, 0, 0, 0, 75, 0, 0, 
0, BS10, 10, 8198, 0, 3075.6, 60.9, 0, 0, 0, 0, 3.02, 77.7, 0, 0.2, 0.1, 28.7, 5.8, 0.5, 0.1, 0, 0, 0, 0, 61.9, 108.1, 2603, 302.5, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.5, 11.3, 45.4, 15.5, 0, 0, 0, 0, 0, 0.1, -0.1, 0, 0.22, 0, 0, 0, 0, 0, 0, 77.6, 0, 0, 
0, BS11, 11, 44097, 0, 2813.4, 710.3, 0, 0, 0, 0, 2.63, 75.6, 0, 6.7, 2.2, 328, 68.6, 7.1, 2.2, 0.4, 0.1, 0.2, 0, 54.8, 133.2, 2317.3, 308, 0.1, 0, 0.8, 0.3, 0, 0, 0, 0, 0, 0, 2, 12.9, 40.6, 16.1, 0, 0, 0, 0, 0, 0.2, -0.1, 0, 0.11, 0, 0, 0, 0, 0, 0, 74.3, 0, 0, 
0, BS12, 12, 101947, 0, 2445.2, 1255.3, 0, 0, 0, 0, 2.53, 72.9, 0, 14, 4.6, 577.6, 120.4, 12.2, 3.6, 0.7, 0.1, 0.3, 0, 46, 146.5, 1940.7, 312, 0.3, 0.1, 1.3, 0.5, 0, 0, 0, 0, 0, 0, 1.5, 14.1, 35.7, 16.9, 0, 0, 0, 0, 0, 0.3, -0.2, 0, 0.07, 0, 0, 0, 0, 0, 0, 70.7, 0, 0, 
0, BS13, 13, 40960, 0, 3181.6, 57.5, 0, 0, 0, 0, 3.08, 78, 0, 0.4, 0.1, 26.8, 5.5, 0.5, 0.1, 0, 0, 0, 0, 66.3, 101.8, 2711.8, 301.6, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.6, 10.4, 46.5, 15.3, 0, 0, 0, 0, 0, 0.1, 0, 0, 0.09, 0, 0, 0, 0, 0, 0, 77.9, 0, 0, 
0, BS14, 14, 9639, 0, 2912.3, 277, 0.1, 0, 0, 0.1, 2.9, 76.5, 0, 2.8, 0.9, 128, 26.6, 2.6, 0.7, 0.1, 0, 0.1, 0, 57.5, 117.4, 2432.1, 305.3, 0.1, 0, 0.3, 0.1, 0, 0, 0, 0, 0, 0, 2.2, 12, 43, 15.9, 0, 0, 0, 0, 0, 0.1, -0.1, 0, 0.37, 0, 0, 0, 0, 0, 0, 76, 0, 0, 
0, BS15, 15, 7283, 0, 3164.2, 126.9, 0, 0, 0, 0, 3, 77.8, 0, 1, 0.3, 59, 12.3, 1.2, 0.3, 0.1, 0, 0, 0, 65.9, 103.5, 2693, 301.7, 0, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 2.6, 10.5, 46, 15.4, 0, 0, 0, 0, 0, 0.1, 0, 0, 0.29, 0, 0, 0, 0, 0, 0, 77.5, 0, 0, 
0, BS16, 16, 55866, 0, 2366.4, 2710.8, 0, 0, 0, 0, 2.29, 73.5, 0, 31, 10.2, 1245.9, 260.5, 26.8, 7.6, 1.6, 0.3, 0.7, 0.1, 49.9, 180.3, 1817.4, 318.8, 0.6, 0.1, 2.8, 1.2, 0.1, 0, 0, 0, 0, 0, 1.3, 15.4, 32, 17.6, 0, 0, 0, 0, 0.1, 0.4, -0.3, 0, 0.1, 0, 0, 0, 0, 0, 0, 68.6, 0, 0, 
0, BS17, 17, 2090, 0, 3131.4, 67.9, 0.1, 0, 0, 0, 3.3, 78.8, 0, 0.3, 0.1, 31.8, 6.7, 0.6, 0.1, 0, 0, 0, 0, 63.6, 108.8, 2657.5, 301.5, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.5, 11.4, 46.2, 15.3, 0, 0, 0, 0, 0, 0.1, -0.1, 0, 0.32, 0, 0, 0, 0, 0, 0, 78.7, 0, 0, 
